,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count
"('AS14.17', datetime.date(2014, 4, 30))",1635.0,228,,228,,228,116.73920924506298,971,240743.00900745392,4290,74.0,74,38.0,38,85524.97699999977,3345,110470.88200000004,3013,62827.202000000085,424,81.632,3,2562.907,1,3859.074000000001,57,4448.199,265,51641.87999999988,1272,17685.712999999996,366,206.93699999999998,8,544.715,39,0.0,0
"('AS14.17', datetime.date(2014, 5, 1))",1643.0,229,,229,,229,118.71552584655082,995,247356.08800721169,4338,74.0,74,39.0,39,85795.59099999975,3391,111391.72300000003,3041,62840.238000000085,425,81.632,3,7927.241,9,3859.074000000001,57,4456.232999999999,266,51719.89899999988,1275,17685.712999999996,366,206.93699999999998,8,559.772,40,0.0,0
"('AS14.17', datetime.date(2014, 5, 2))",1657.0,231,,231,,231,124.91868319051076,1019,250200.89100837708,4427,75.0,75,39.0,39,91695.90899999977,3458,112591.548,3094,62840.238000000085,425,81.632,3,7927.241,9,3859.074000000001,57,4478.941,269,52434.63199999988,1280,18603.017999999996,376,206.93699999999998,8,559.772,40,0.0,0
"('AS14.17', datetime.date(2014, 5, 3))",1686.0,235,,234,,234,131.30911623488427,1038,253408.90100836754,4505,82.0,82,42.0,42,92331.63699999967,3555,113657.777,3134,63001.88900000008,427,81.632,3,7927.241,9,3859.074000000001,57,4523.09,275,53897.80699999989,1303,29151.13399999999,382,206.93699999999998,8,568.801,41,0.0,0
"('AS14.17', datetime.date(2014, 5, 5))",1701.0,237,,236,,236,133.5846220894243,1077,261588.57500863075,4573,82.0,82,42.0,42,92733.55199999968,3608,116560.1849999999,3200,63021.967000000084,428,81.632,3,7927.241,9,3859.074000000001,57,4571.768999999999,283,54853.719999999885,1315,29379.69299999999,388,206.93699999999998,8,616.7570000000001,44,0.0,0
"('AS14.17', datetime.date(2014, 3, 20))",309.0,43,23.0,43,,43,0.21151441889228528,5,1630.727999687195,16,35.0,35,17.0,17,132.624,33,456.2309999999999,16,249.904,1,0.0,0,0.0,0,0.0,0,111.48500000000001,5,937.5369999999998,14,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 5, 4))",1686.0,235,,234,,234,131.65141894109072,1061,259494.82400918007,4536,82.0,82,42.0,42,92648.05199999968,3588,115638.39499999995,3164,63001.88900000008,427,81.632,3,7927.241,9,3859.074000000001,57,4549.545,279,54086.65999999989,1309,29151.13399999999,382,206.93699999999998,8,568.801,41,0.0,0
"('AS14.17', datetime.date(2014, 2, 18))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 20))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 21))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 22))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,4,5.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 23))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,5,5.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 26))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,9,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 28))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,10,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 3, 16))",309.0,43,23.0,43,,43,0.0,0,0.0,0,23.0,23,16.0,16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 3, 18))",309.0,43,23.0,43,,43,0.0,0,0.0,0,33.0,33,17.0,17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 3, 19))",309.0,43,23.0,43,,43,0.0,0,0.0,0,35.0,35,17.0,17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 17))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 24))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,5,6.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 2, 25))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,5,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 3, 1))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,10,10.0,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 3, 2))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,10,12.0,12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 3, 15))",309.0,43,23.0,43,,43,0.0,0,0.0,0,22.0,22,16.0,16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.17', datetime.date(2014, 3, 17))",309.0,43,23.0,43,,43,0.0,0,0.0,0,23.0,23,17.0,17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 21))",14.0,3,2.0,3,2.0,3,1.3158602150537642,12,6933.05800008774,18,160.0,160,18.0,18,1992.5759999999998,31,4906.088999999999,14,0.0,0,0.0,0,0.0,0,0.0,0,117.06900000000002,4,5.037,1,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 22))",47.0,8,-5.0,8,4.0,8,3.393762661751676,36,11689.107000589378,104,167.0,167,18.0,18,5236.3870000000015,127,6748.997000000001,59,0.0,0,0.0,0,0.0,0,0.0,0,597.099,19,76.65,3,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 23))",82.0,13,-9.0,13,8.0,13,4.100813190541335,60,12685.427999258049,126,171.0,171,18.0,18,5808.846000000004,164,7001.166000000001,69,0.0,0,0.0,0,0.0,0,0.0,0,701.1410000000002,27,144.269,4,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 24))",112.0,18,-11.0,18,10.0,18,6.834159896014072,84,14828.727000236519,189,176.0,176,18.0,18,6193.403000000006,219,10435.61,133,26.125,6,0.0,0,0.0,0,0.0,0,754.552,32,144.269,4,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 25))",134.0,22,-16.0,22,11.0,22,9.552198457378552,108,19617.74299907685,278,188.0,188,18.0,18,7245.744000000002,312,14366.347000000005,215,26.125,6,0.0,0,0.0,0,0.0,0,808.8549999999999,39,144.269,4,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 26))",164.0,27,-19.0,27,13.0,27,12.166154284425723,132,24031.14099860192,356,194.0,194,18.0,18,8156.856999999997,389,17674.894000000004,290,26.125,6,0.0,0,0.0,0,0.0,0,858.387,44,284.015,9,0.0,0,2.006,1,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 27))",197.0,32,-19.0,32,16.0,32,15.33906488794749,156,27626.60599708558,443,201.0,201,19.0,19,9037.024,484,19840.011000000006,373,268.64300000000003,7,0.0,0,0.0,0,0.0,0,905.9879999999999,49,474.41399999999993,16,0.0,0,68.863,9,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 28))",230.0,37,-22.0,37,22.0,37,18.911999248462717,180,30357.764996290214,504,209.0,209,20.0,20,9888.394999999997,556,21061.557000000008,413,831.492,10,0.0,0,0.0,0,0.0,0,969.6549999999999,55,500.6939999999999,19,0.0,0,72.91000000000001,11,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 29))",267.0,42,-21.0,42,28.0,42,22.22290148916352,204,32110.7119960785,550,219.0,219,22.0,22,10496.717999999997,626,22024.157000000007,439,916.7679999999999,13,0.0,0,0.0,0,0.0,0,1065.2389999999998,61,500.6939999999999,19,0.0,0,72.91000000000001,11,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 30))",302.0,47,-23.0,47,32.0,47,23.706945907632253,227,33135.42899584771,594,224.0,224,22.0,22,13374.636000000006,682,22714.592999999993,467,916.7679999999999,13,0.0,0,0.0,0,0.0,0,1115.5069999999996,66,500.6939999999999,19,0.0,0,72.91000000000001,11,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 31))",338.0,52,-25.0,52,37.0,52,26.82984989681413,251,39327.00099539757,661,230.0,230,23.0,23,14232.170000000004,766,27923.53399999999,549,916.7679999999999,13,0.0,0,0.0,0,0.0,0,1160.1739999999998,71,500.6939999999999,19,238.21699999999998,3,72.91000000000001,11,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 4, 1))",370.0,57,-25.0,57,38.0,57,30.03305379987013,275,42897.47199630737,741,231.0,231,23.0,23,14823.671000000008,818,32672.748999999985,644,916.7679999999999,13,0.0,0,0.0,0,0.0,0,1209.6009999999997,76,500.6939999999999,19,238.21699999999998,3,81.73200000000001,14,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 4, 2))",408.0,62,-26.0,62,43.0,62,31.884979116295913,299,44752.74699664116,790,234.0,234,23.0,23,15408.738000000008,867,33854.58599999998,686,916.7679999999999,13,0.0,0,0.0,0,0.0,0,1250.7939999999996,81,548.4109999999998,25,238.21699999999998,3,81.73200000000001,14,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 4, 3))",441.0,67,-26.0,67,46.0,67,33.63883065691216,323,47883.7699971199,843,236.0,236,23.0,23,16063.21200000001,898,36287.70199999997,747,916.7679999999999,13,0.0,0,0.0,0,0.0,0,1293.1679999999997,86,548.4109999999998,25,238.21699999999998,3,81.73200000000001,14,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 4, 4))",476.0,72,-27.0,72,48.0,72,37.407338352217046,347,51833.103997945786,945,247.0,247,23.0,23,17533.727000000014,1019,38401.37899999998,843,916.7679999999999,13,0.0,0,0.0,0,0.0,0,1488.867,93,767.8169999999998,30,238.21699999999998,3,81.73200000000001,14,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 4, 5))",516.0,77,-30.0,77,54.0,77,40.67027673621822,371,54047.22799873352,1003,258.0,258,23.0,23,18177.00900000002,1082,39490.93799999996,887,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1554.249,98,821.1869999999998,31,238.21699999999998,3,81.73200000000001,14,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 4, 6))",545.0,81,-35.0,81,58.0,81,42.931655290638496,395,56519.4699985981,1066,266.0,266,24.0,24,18941.09400000003,1156,41149.152999999955,949,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1603.5259999999996,103,821.1869999999998,31,238.21699999999998,3,81.73200000000001,14,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 4, 7))",578.0,86,-40.0,86,61.0,86,47.334093589776174,419,60354.5120010376,1199,277.0,277,24.0,24,20447.284000000025,1285,44144.724999999984,1044,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1667.1089999999995,108,1035.7669999999998,34,238.21699999999998,3,81.73200000000001,14,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 4, 8))",612.0,91,-42.0,91,66.0,91,49.4716007383342,443,63257.9650015831,1293,285.0,285,26.0,26,21441.81200000002,1387,46069.79599999999,1117,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1706.5039999999997,113,1035.7669999999998,34,238.21699999999998,3,81.73200000000001,14,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 9))",648.0,96,-44.0,96,70.0,96,52.293163831835585,467,66309.94700312614,1356,293.0,293,27.0,27,21964.32700000002,1453,48536.90199999999,1168,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1767.1329999999994,118,1035.7669999999998,34,238.21699999999998,3,81.73200000000001,14,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 10))",675.0,100,-46.0,100,73.0,100,54.04039289587499,491,67357.34200382233,1396,297.0,297,27.0,27,25171.133000000016,1498,48968.01599999998,1190,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1799.4139999999995,122,1103.3809999999999,40,238.21699999999998,3,81.73200000000001,14,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 11))",709.0,105,-49.0,105,78.0,105,56.70664648296054,515,70132.1440050602,1466,303.0,303,27.0,27,26173.09900000002,1561,50633.254,1255,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1841.8559999999995,127,1164.8429999999996,46,238.21699999999998,3,81.73200000000001,14,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 12))",745.0,110,-48.0,110,82.0,110,58.29196584484973,539,71975.7360048294,1524,309.0,309,27.0,27,26901.43500000002,1633,51611.47399999998,1303,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1887.3179999999998,132,1553.8679999999995,52,238.21699999999998,3,81.73200000000001,14,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 13))",781.0,115,-51.0,115,87.0,115,61.02015370955391,563,73482.14300346375,1585,315.0,315,27.0,27,27238.371000000014,1692,52490.988999999965,1342,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,1948.9019999999998,137,1780.7439999999995,67,238.21699999999998,3,81.73200000000001,14,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 14))",816.0,120,-49.0,120,91.0,120,64.52245021799678,587,78484.10800266266,1685,330.0,330,27.0,27,30212.852000000017,1784,56258.24899999995,1448,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,2017.5399999999995,142,1989.2689999999993,69,238.21699999999998,3,124.01400000000002,18,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 15))",848.0,125,-54.0,125,96.0,125,67.66082556813683,611,82766.75300335884,1769,334.0,334,27.0,27,30948.12400000001,1860,59661.60099999996,1538,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,2130.886,149,2008.4709999999993,71,238.21699999999998,3,136.68500000000003,21,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 16))",882.0,130,-57.0,130,101.0,130,69.51395056813683,635,84638.66300368309,1827,338.0,338,28.0,28,31166.281000000014,1892,66826.75499999995,1607,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,2188.218,154,2363.1999999999994,80,238.21699999999998,3,136.68500000000003,21,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 17))",916.0,135,-61.0,135,106.0,135,71.9491746577727,659,89404.63500213623,1903,339.0,339,28.0,28,31334.04700000002,1920,72204.38600000001,1712,916.7679999999999,13,0.0,0,360.98199999999997,6,0.0,0,2235.7379999999994,159,2461.1469999999995,82,238.21699999999998,3,136.68500000000003,21,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 18))",950.0,140,-66.0,140,111.0,140,73.50750799110604,683,92713.13800215721,1949,342.0,342,29.0,29,31482.701000000012,1953,75586.12400000001,1775,916.7679999999999,13,0.0,0,590.114,7,0.0,0,2279.0849999999996,165,2461.1469999999995,82,238.21699999999998,3,136.68500000000003,21,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 19))",984.0,145,-68.0,145,115.0,145,76.15512461041907,707,93827.01100182533,1993,348.0,348,29.0,29,31768.146000000004,1995,76349.09400000003,1805,916.7679999999999,13,0.0,0,590.114,7,0.0,0,2335.627,170,2785.050999999999,95,238.21699999999998,3,145.36400000000003,24,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 20))",1022.0,150,-67.0,150,121.0,150,78.6020927618967,731,95559.94300150871,2039,352.0,352,29.0,29,32685.817000000006,2042,77046.64400000001,1838,916.7679999999999,13,0.0,0,590.114,7,0.0,0,2377.3250000000007,175,2861.264999999999,99,238.21699999999998,3,145.36400000000003,24,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 21))",1054.0,155,-68.0,155,126.0,155,81.80536898932297,755,97296.2910015583,2085,358.0,358,29.0,29,33156.89500000003,2096,78186.21399999999,1873,916.7679999999999,13,0.0,0,590.114,7,0.0,0,2424.916000000001,180,32934.685999999994,107,238.21699999999998,3,145.36400000000003,24,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 22))",1088.0,160,-65.0,160,132.0,160,85.09362913926513,779,102178.96900129318,2306,365.0,365,29.0,29,33776.336,2285,82490.36299999992,1992,916.7679999999999,13,0.0,0,590.114,7,0.0,0,2475.6520000000014,186,32960.15499999999,110,238.21699999999998,3,145.36400000000003,24,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 23))",1106.0,163,-68.0,163,135.0,163,87.74915298235,803,105280.14700126648,2385,369.0,369,30.0,30,34134.152999999984,2336,86290.4899999999,2075,916.7679999999999,13,0.0,0,590.114,7,0.0,0,2532.102000000001,192,33153.321999999986,116,238.21699999999998,3,145.36400000000003,24,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 24))",1139.0,168,-71.0,168,139.0,168,90.28361022228864,827,108245.74900197983,2439,374.0,374,30.0,30,34516.475999999995,2391,88683.59099999993,2137,916.7679999999999,13,0.0,0,590.114,7,0.0,0,2720.202000000001,198,33153.321999999986,116,238.21699999999998,3,145.36400000000003,24,53.342,4,0.0,0
"('AS14.19', datetime.date(2014, 4, 25))",1168.0,172,-74.0,172,142.0,172,92.12621289817316,851,110918.17400074005,2492,380.0,380,30.0,30,35468.07500000002,2437,91070.27399999993,2179,1463.2579999999998,14,0.0,0,590.114,7,0.0,0,2763.371000000001,205,33412.07899999999,126,238.21699999999998,3,145.36400000000003,24,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 4, 26))",1199.0,176,-70.0,176,148.0,176,98.1046780773483,875,112293.04900050163,2532,386.0,386,31.0,31,38173.42899999999,2486,91528.26199999994,2202,1463.2579999999998,14,0.0,0,590.114,7,0.0,0,2871.307000000001,209,33412.07899999999,126,238.21699999999998,3,145.36400000000003,24,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 4, 27))",1237.0,182,-79.0,182,153.0,182,99.18147749276666,899,115321.67500042915,2587,390.0,390,31.0,31,38767.25599999999,2549,94050.65299999995,2247,1463.2579999999998,14,0.0,0,590.114,7,0.0,0,2957.301000000001,215,33808.26899999999,137,497.675,17,145.36400000000003,24,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 4, 28))",1269.0,187,-79.0,187,156.0,187,101.67219725893405,923,118293.87999916077,2663,394.0,394,31.0,31,39243.11399999996,2611,98183.07100000001,2310,1463.2579999999998,14,0.0,0,590.114,7,0.0,0,3013.696000000001,220,34407.645,158,559.7829999999999,25,145.36400000000003,24,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 4, 29))",1305.0,192,-77.0,192,159.0,192,102.28857563870272,947,120552.92999768257,2723,400.0,400,31.0,31,40385.266999999934,2667,99902.77800000006,2363,1463.2579999999998,14,0.0,0,590.114,7,0.0,0,3060.0550000000007,225,34580.950999999994,167,559.7829999999999,25,145.36400000000003,24,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 4, 30))",1340.0,197,-75.0,197,163.0,197,103.35769646445547,971,123686.23299694061,2786,412.0,412,31.0,31,41237.78299999993,2756,101754.59600000006,2415,1468.3829999999998,15,0.0,0,590.114,7,0.0,0,3111.3640000000005,230,34951.94099999999,171,559.7829999999999,25,145.36400000000003,24,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 5, 1))",1374.0,202,-76.0,202,167.0,202,106.3880545115691,995,126829.21799635887,2840,414.0,414,31.0,31,41783.22299999994,2817,103966.4110000001,2465,1468.3829999999998,15,0.0,0,590.114,7,0.0,0,3158.78,235,35286.939,182,559.7829999999999,25,148.39300000000003,26,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 5, 2))",1413.0,207,-74.0,207,173.0,207,111.00338046203923,1019,128262.07899689674,2917,423.0,423,31.0,31,42726.648999999954,2898,104941.80800000009,2507,1468.3829999999998,15,0.0,0,590.114,7,0.0,0,3234.473,240,35286.939,182,559.7829999999999,25,151.43000000000004,28,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 5, 3))",1450.0,212,-72.0,212,178.0,212,115.56623076384946,1043,131460.25899791718,2975,436.0,436,33.0,33,43484.86799999994,2979,107298.35400000011,2542,1468.3829999999998,15,0.0,0,590.114,7,0.0,0,3307.946,246,35296.015,183,559.7829999999999,25,151.43000000000004,28,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 5, 4))",1483.0,217,-74.0,217,182.0,217,117.23303064355149,1067,134139.74599814415,3033,436.0,436,33.0,33,47292.923999999955,3047,110782.33100000014,2586,1468.3829999999998,15,0.0,0,590.114,7,0.0,0,3371.447,251,35774.50600000001,194,559.7829999999999,25,151.43000000000004,28,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 5, 5))",1511.0,221,-73.0,221,186.0,221,117.23303064355149,1071,134145.8539981842,3034,436.0,436,33.0,33,47292.923999999955,3047,110788.42900000013,2587,1468.3829999999998,15,0.0,0,590.114,7,0.0,0,3371.447,251,35774.50600000001,194,559.7829999999999,25,151.43000000000004,28,56.995,6,0.0,0
"('AS14.19', datetime.date(2014, 2, 17))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 2, 18))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,14,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 2, 19))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19.0,19,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 2, 20))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,20.0,20,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 2, 21))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,27.0,27,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 2, 22))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,30.0,30,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 2, 23))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,32.0,32,4.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 2, 27))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,34.0,34,5.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 3))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.0,37,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 4))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,39.0,39,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 5))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,54.0,54,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 6))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,58.0,58,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 7))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,60.0,60,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 8))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,74.0,74,8.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.19', datetime.date(2014, 3, 9))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,80.0,80,8.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
