,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count
"('AS14.02', datetime.date(2014, 4, 14))",882.0,128,-51.0,128,45.0,128,181.3831906583404,666,174442.215000391,4809,368.0,368,66.0,66,65322.990999999674,4051,76190.29200000002,2431,18001.972999999998,414,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,14886.152999999975,556,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 15))",911.0,132,-53.0,132,47.0,132,183.46673725648466,678,175143.50200080872,4827,382.0,382,67.0,67,65421.25699999967,4063,76636.20900000003,2443,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,14911.538999999975,558,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 16))",931.0,135,-54.0,135,48.0,135,184.17328996303735,680,175252.7860004902,4831,398.0,398,68.0,68,65546.38999999968,4073,76636.20900000003,2443,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,14911.538999999975,558,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 17))",957.0,139,-53.0,139,48.0,139,185.11346090320828,682,175294.02100014687,4834,408.0,408,75.0,75,65548.39699999968,4074,76673.81000000004,2446,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,14911.538999999975,558,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 18))",983.0,143,-53.0,143,48.0,143,185.11346090320828,682,175294.02100014687,4834,411.0,411,75.0,75,65548.39699999968,4074,76673.81000000004,2446,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,14911.538999999975,558,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 19))",1000.0,146,-55.0,146,47.0,146,185.61346090320828,683,175481.34300017357,4836,412.0,412,75.0,75,65558.48699999967,4075,76746.15100000004,2449,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,14911.538999999975,558,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 20))",1015.0,149,-57.0,149,47.0,149,185.61346090320828,683,175481.34300017357,4836,421.0,421,78.0,78,65558.48699999967,4075,76746.15100000004,2449,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,14911.538999999975,558,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 21))",1026.0,151,-58.0,151,46.0,151,185.61346090320828,683,175481.34300017357,4836,429.0,429,78.0,78,65558.48699999967,4075,76746.15100000004,2449,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,14911.538999999975,558,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 22))",1043.0,154,-62.0,154,45.0,154,185.76346090320828,685,175494.4230003357,4838,444.0,444,80.0,80,65558.48699999967,4075,76746.15100000004,2449,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,15018.425999999976,561,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 23))",1054.0,156,-62.0,156,46.0,156,185.90631804606542,686,175494.4230003357,4838,451.0,451,81.0,81,65558.48699999967,4075,76746.15100000004,2449,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,15018.425999999976,561,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
