date_time,participant_id,batch,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count,sum_of_counts
2014-04-16,AS14.01,0,7.2,5,0.75,4,0.5,2,0.1161103361271222,24,12522.47499895096,165,0.0,0,1.0,1,923.613,149,5175.016,140,426.734,18,0.0,0,0.0,0,0.0,0,40.784,6,1912.852,29,0.0,0,0.0,0,223.587,10,0.0,0,553
2014-04-17,AS14.01,0,6.6,5,-0.4,5,0.6,5,0.0569178566720968,24,7878.109463814164,100,2.0,2,0.0,0,552.201,113,11853.338999999998,109,142.241,5,0.0,0,0.0,0,0.0,0,53.763000000000005,5,2107.146,30,0.0,0,0.0,0,49.718,3,0.0,0,406
2014-04-18,AS14.01,0,6.8,5,-0.8,5,0.8,5,0.094033006694976,24,8965.493820787553,86,1.0,1,0.0,0,1860.898,137,5341.656999999999,82,774.354,9,119.163,7,0.0,0,0.0,0,47.788999999999994,7,1993.922,10,63.873999999999995,3,0.0,0,88.68,4,0.0,0,385
2014-04-19,AS14.01,0,7.8,5,-0.2,5,1.0,5,0.0994319117238402,24,5199.842821718345,82,1.0,1,0.0,0,946.1899999999996,124,2728.26,77,469.274,6,95.629,6,29.084,1,0.0,0,31.482,5,396.672,11,128.89,2,0.0,0,305.79600000000005,9,0.0,0,363
2014-04-20,AS14.01,0,7.25,4,-0.25,4,0.75,4,0.0748162430431159,23,8343.518000364305,89,2.0,2,2.0,2,897.0860000000001,146,4984.723999999999,87,727.492,12,10.606,2,0.0,0,0.0,0,34.202,5,2237.7419999999997,24,0.0,0,0.0,0,121.035,10,0.0,0,414
2014-04-21,AS14.01,0,7.6,5,-0.25,4,1.0,5,0.1020410589682471,24,3832.9909992218018,59,2.0,2,0.0,0,1137.4539282101362,103,2004.3470000000004,46,74.88000000000001,4,33.266,3,0.0,0,0.0,0,58.04899999999999,5,428.972,7,68.278,3,0.0,0,210.882,10,0.0,0,280
2014-04-22,AS14.01,0,7.4,5,0.2,5,1.0,5,0.091929551822292,24,15490.269999265667,183,2.0,2,0.0,0,2212.9540000000015,183,11360.913000000008,243,1101.017,28,38.453,6,0.0,0,0.0,0,63.16,6,1422.5479999999998,21,0.0,0,0.0,0,423.215,21,0.0,0,732
2014-04-23,AS14.01,0,7.6,5,0.2,5,1.0,5,0.0459856891337655,24,11523.25182044614,150,1.0,1,0.0,0,1130.8420000000003,142,8928.471999999996,165,347.4270000000001,9,18.051,3,0.0,0,0.0,0,42.398,6,526.598,12,0.0,0,0.0,0,246.944,11,0.0,0,538
2014-04-24,AS14.01,0,7.6,5,-0.4,5,1.0,5,0.0509029881940342,24,13783.668642284654,107,1.0,1,0.0,0,1466.2709999999988,152,9692.133000000002,150,4464.974999999999,43,209.937,5,0.0,0,0.0,0,31.933,4,2688.536,35,51.184,3,0.0,0,716.1970000000001,31,0.0,0,570
2014-04-25,AS14.01,0,7.2,5,-0.2,5,0.8,5,0.1090610636368274,24,9382.362641813535,141,2.0,2,1.0,1,817.6129999999997,130,7279.144,142,650.8319999999999,13,21.071,3,0.0,0,0.0,0,68.847,6,2227.694,23,63.315999999999995,3,0.0,0,347.974,17,0.0,0,520
2014-04-26,AS14.01,0,7.6,5,-0.2,5,1.0,5,0.214248771624235,23,5047.96464133479,70,3.0,3,4.0,4,864.5189999999998,99,2567.8570000000004,43,125.556,1,27.266999999999996,4,0.0,0,0.0,0,46.205,5,2368.377,3,470.773,20,3.148,1,315.7629999999999,21,0.0,0,312
2014-04-27,AS14.01,0,7.5,4,0.0,5,1.0,5,0.0304789237989636,22,5700.562000036243,53,0.0,0,0.0,0,1291.3139999999996,82,2431.4979999999996,48,1510.221,11,0.0,0,0.0,0,0.0,0,1056.684,10,27.47,2,0.0,0,0.0,0,60.337999999999994,6,0.0,0,248
2014-04-28,AS14.01,0,7.6,5,-0.8,5,0.8,5,0.0196753225383989,24,10807.829999685286,89,2.0,2,0.0,0,1312.001,114,4697.372000000001,85,1548.438,14,465.253,9,0.0,0,0.0,0,72.584,6,2423.933,12,0.0,0,0.0,0,380.193,22,0.0,0,392
2014-04-29,AS14.01,0,7.0,5,-0.25,4,1.0,3,0.1027582485295044,24,7873.291999101639,102,0.0,0,0.0,0,1824.0229282101368,139,3834.644999999999,79,1562.5330000000004,24,0.0,0,333.305,2,0.0,0,40.471999999999994,5,411.485,4,41.982,2,0.0,0,410.436,19,0.0,0,412
2014-04-30,AS14.01,0,7.8,5,-0.4,5,0.75,4,0.1510514590407472,24,6064.851820112356,115,1.0,1,0.0,0,844.9630000000002,118,3550.6179999999995,104,504.862,15,375.022,6,0.0,0,0.0,0,185.783,8,89.16599999999998,9,272.798,16,0.0,0,112.295,5,0.0,0,435
2014-05-01,AS14.01,0,8.0,5,-0.4,5,1.0,5,0.037065268147657,24,13375.32581961263,191,7.0,7,4.0,4,1876.113,200,8191.410000000003,201,470.866,8,1321.1039999999996,45,0.0,0,28.098,1,44.43,6,4918.942000000001,34,0.0,0,0.0,0,269.56899999999996,15,0.0,0,751
2014-05-02,AS14.01,0,7.6,5,-0.2,5,1.0,4,0.0773410192967756,24,10972.001821876658,125,0.0,0,0.0,0,795.4359999999997,120,7925.917999999999,136,352.88800000000003,6,1069.748,31,0.0,0,0.0,0,32.443,5,771.266,17,0.0,0,0.0,0,11.083,2,0.0,0,480
2014-05-03,AS14.01,0,8.0,5,-0.2,5,1.0,5,0.071740884895172,24,8186.036000728606,75,0.0,0,1.0,1,753.2569999999997,78,4539.775999999998,61,2761.9500000000003,22,296.313,8,0.0,0,0.0,0,40.569,5,205.602,9,143.631,1,30.102,1,125.60500000000002,4,0.0,0,304
2014-05-04,AS14.01,0,8.0,4,-0.5,4,1.0,4,0.1361918083770383,21,5889.194999456405,64,0.0,0,0.0,0,1758.4379999999996,95,3381.6890000000003,64,928.406,6,0.0,0,0.0,0,0.0,0,35.525000000000006,5,494.677,5,0.0,0,0.0,0,0.0,0,0.0,0,272
2014-05-05,AS14.01,0,0.0,0,0.0,0,0.0,0,0.0078425954521073,11,1788.7339999675771,13,0.0,0,0.0,0,438.347,33,826.7869999999999,22,318.514,1,0.0,0,0.0,0,0.0,0,0.0,0,25.104,1,0.0,0,0.0,0,264.331,4,0.0,0,85
